,Title,Media,Update,Timestamp,Description,Link,Image,Text
10,Un fallo en Catamarca ordena a la ANDIS que restituya pensiones por discapacidad,Página | 12,hace 7 minutos,nan,El Juzgado Federal Nº 2 de Catamarca hizo lugar a una medida cautelar y ordenó a la Agencia Nacional de Discapacidad (ANDIS) a restablecer la totalidad ...,https://www.pagina12.com.ar/857960-un-fallo-en-catamarca-ordena-a-la-andis-que-restituya-pensio,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","El Juzgado Federal Nº 2 de Catamarca hizo lugar a una medida cautelar y ordenó a la Agencia Nacional de Discapacidad (ANDIS) a restablecer la totalidad de las pensiones no contributivas por invalidez que se suspendieron en esa provincia en un plazo de 24 horas. La agencia, envuelta en la causa por supuestos pedidos de coima, deberá pagar los haberes retenidos a sus titulares.

La decisión la tomó el juez Guillermo Díaz Martínez a partir de una acción de amparo promovida por el Defensor del Pueblo de Catamarca, beneficiarios particulares y una entidad de la sociedad civil. Además, Díaz Martínez dispuso que el organismo se abstenga de realizar nuevas suspensiones mientras se sustancia la causa.

Los denunciantes argumentaron su presentación en las auditorías médicas implementadas de manera irregular por la ANDIS y bajo parámetros normativos cuestionados, como el Decreto 843/24, que volvió a instalar criterios restrictivos de acceso a las pensiones.

El amparo presentado por el Defensor del Pueblo catamarqueño y particulares también denunció las deficiencias en las notificaciones enviadas por el ANDIS, exigencias desproporcionadas en traslados para validar las pensiones y plazos exiguos para presentar documentación. Los denunciantes sostuvieron que esas condiciones afectaron la posibilidad de ejercer una defensa administrativa adecuada.

Tal como lo hizo la Corte Suprema a fines de agosto, el titular del Juzgado Federal Nº 2 marcó en su resolución la legitimación extraordinaria al Defensor del Pueblo de Catamarca para actuar en representación del grupo afectado y exigió que se subsane la vacancia prolongada en la Defensoría del Pueblo de la Nación, como también la falta de una ley que regule las acciones colectivas.

En ese marco, Díaz Martínez consideró fundado el derecho de los denunciantes y acreditado el peligro en la demora, por el carácter alimentario de la prestación y la vulnerabilidad de la población afectada."
11,SE CELEBRA EL ACTO PROTOCOLARIO DE ENTREGA DEL GALARDÓN CONMEMORATIVO A LOS GANADORES DE LA 1ª EDICIÓN “AYUDAS FUNDACIÓN SOLISS”,Radio Marca Albacete,hace 8 minutos,nan,"La Fundación Soliss entrega los galardones a los ganadores de su primera convocatoria anual de Ayudas a Iniciativas Sociales, Medioambientales, Deportivas y...",https://radiomarcaab.com/202509/se-celebra-el-acto-protocolario-de-entrega-del-galardon-conmemorativo-a-los-ganadores-de-la-1a-edicion-ayudas-fundacion-soliss/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","La Fundación Soliss entrega los galardones a los ganadores de su primera convocatoria anual de Ayudas a Iniciativas Sociales, Medioambientales, Deportivas y Culturales, una de las principales líneas de acción de su compromiso con el progreso y la cohesión de Castilla-La Mancha.

Estas ayudas van dirigidas a entidades sin ánimo de lucro que trabajan por el bienestar colectivo desde múltiples enfoques, y suponen un impulso decisivo para iniciativas que, por su carácter transformador, su arraigo territorial o su capacidad de generar impacto positivo, marcan la diferencia en sus respectivas comunidades.

En la mañana de hoy lunes, en la sede central de Soliss, la única aseguradora castellanomanchega, se ha celebrado el acto protocolario de entrega de un galardón conmemorativo a cada uno las entidades ganadoras de esta primera edición. El acto ha contado con la presencia de los representantes de cada una de las entidades ganadoras y María Luisa González, y César Duro, presidenta y director de la fundación, respectivamente. María Luisa González ha señalado:

“Estas ayudas representan una apuesta estratégica por fortalecer el tejido asociativo regional, favorecer la igualdad de oportunidades, y contribuir activamente a un modelo de desarrollo sostenible, integrador y con alma”

“En cada rincón de nuestra tierra hay personas y entidades trabajando por el bien común. Desde Fundación Soliss tenemos el compromiso de apoyar, visibilizar y acompañar esos esfuerzos para que lleguen más lejos y transformen más vidas”

El director de la Fundación Soliss también ha recordado que ya está abierto el plazo de la segunda convocatoria 2025 que finaliza el 31 de octubre.

Esta primera edición ha reconocido proyectos que abarcan ámbitos tan diversos como la atención a la discapacidad, la sensibilización en salud, la promoción del deporte inclusivo, el acceso a la cultura o la generación de empleo protegido. Algunas de las propuestas ganadoras cuentan además con despliegue regional, lo que les permite llegar a toda la geografía de Castilla-La Mancha, incluyendo entornos rurales o especialmente vulnerables.

Relación de proyectos ganadores:

«Proyecto Comer con Placer», de la Asociación de Familiares y Enfermos de Parkinson y otras Enfermedades Neurodegenerativas de Cuenca, en Cuenca.

«Recarga 2025», de la Asociación Madridejense de Personas con Discapacidad AMADIS, en Toledo.

«Becas en Comunicación Aumentativa y Alternativa Fundación Gema Canales», de Fundación Gema Canales, en Toledo.

«Proyecto Deportivo Club Deportivo María Auxiliadora», del Club Deportivo María Auxiliadora, con ejecución en varias provincias.

«Creación de un Servicio de Lavandería Industrial», de ALFID Asociación Local de Familias para la Inclusión de la Discapacidad, en Navahermosa (Toledo).

«Proyecto Conoce tu Riesgo, Evita el Ictus», de la Asociación IGUALA3, con implantación regional.

«Bienvenido/a a mi equipo», del Club Deportivo APANAS, con impacto en distintos puntos de la región.

«Ocio que deja huella», de la Asociación Huella Inclusiva Toledo TEA y otros Trastornos del Neurodesarrollo, en Toledo.

«Enfatiza la inclusión, alineado con la misión de APANDAH», de la Asociación de Padres, Madres, Niños y Afectados con Déficit de Atención con o sin Hiperactividad, en Albacete.

“Festival Estival” de la Asociación Cultural Estival Cuenca"
12,Fundación Caja Rural financiará diez proyectos que fomenten el empleo de personas con discapacidad,El Español,hace 11 minutos,nan,El programa Workin ha impulsado desde su creación más de un centenar de iniciativas en las que han participado 7.300 personas. Más información: Fundación...,https://www.elespanol.com/castilla-y-leon/economia/20250915/fundacion-caja-rural-financiara-proyectos-fomenten-empleo-personas-discapacidad/1003743925634_0.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","La Fundación Eurocaja Rural ha puesto en marcha una nueva edición de su programa Workin de apoyo a la inserción laboral de personas con discapacidad. Desde el 15 de septiembre y hasta el 10 de noviembre pueden presentarse los proyectos candidatos de este 2025.

Workin ayuda a financiar todo tipo de iniciativas de empleo que tengan como objetivo la formación y la integración en el mercado del trabajo de las personas con discapacidad.

De entre todos los candidatos una Comisión de Valoración designada por la entidad seleccionará diez proyectos ganadores. Recibirán 10.000 euros que pueden ser dedicados a costear una parte o el proyecto en su totalidad.

Mientras Dormías - NEWSLETTER Apúntate gratis y recibe cada mañana un análisis de los temas del día Apuntarme De conformidad con el RGPD y la LOPDGDD, EL LEÓN DE EL ESPAÑOL PUBLICACIONES, S.A. tratará los datos facilitados con la finalidad de remitirle noticias de actualidad.

Entre los criterios que utilizarán para valorar cada una de las candidaturas estará que la propuesta ayude a fijar empleo, mejore las oportunidades, promueva la plena inclusión o que trabaje para eliminar todo tipo de barreras.

Los proyectos candidatos pueden ser presentados por asociaciones o fundaciones que desarrollen su labor en territorios donde trabaje Eurocaja Rural. Así, podrán optar organizaciones de Castilla y León, Castilla - La Mancha, Cantabria, Madrid, Comunidad Valenciana, Murcia, La Rioja y Aragón.

Más de 7.300 personas con discapacidad han podido beneficiarse ya del programa Workin de la Fundación Eurocaja Rural. Un proyecto que comenzó en 2014 y que ha ayudado a financiar a un centenar de iniciativas por todo el país."
13,El Gobierno promulgará la ley de emergencia en discapacidad pero postergará su reglamentación por un drástico motivo,ADNSUR,hace 16 minutos,nan,"Después de que el Congreso derribara el veto de Milei, el Ejecutivo confirmó que dará fuerza de ley a la norma, aunque primero deberá resolver un asunto de...",https://www.adnsur.com.ar/sociedad/el-gobierno-promulgara-la-ley-de-emergencia-en-discapacidad-pero-postergara-su-reglamentacion-por-un-drastico-motivo_a68c8206a11916dde349468ed,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Tras la aprobación contundente en el Congreso, el Poder Ejecutivo confirmó este lunes que promulgará la ley de emergencia en discapacidad, que había sido objeto de controversia luego del veto inicial del presidente Javier Milei.

La ley, impulsada principalmente por la oposición y con respaldo de sectores afines al oficialismo, recibió el apoyo de más de dos tercios de los legisladores, evidenciando el aislamiento del Gobierno en este debate clave. Sin embargo, el Ejecutivo dejó en claro que no dictará inmediatamente el decreto reglamentario que habilita su implementación.

La oposición rechazó la “mesa política nacional” del Gobierno y criticó la influencia de Karina Milei tras el revés electoral

LA TENSIÓN POLÍTICA Y EL DEBATE SOBRE LA FINANCIACIÓN

Inicialmente, desde la Casa Rosada trascendió que el Gobierno podría judicializar la norma, aunque esa postura fue moderándose a partir de declaraciones oficiales.

El jefe de Gabinete, Guillermo Francos, aseguró que “el Poder Ejecutivo la va a promulgar”, pero subrayó que la reglamentación —que definirá cómo se aplicará la ley— aún está en análisis. “Lo hablaremos con el Presidente. Me gustaría analizarlo con el ministro del área y con las comisiones del Congreso para ver cómo se puede contemplar ese tema”, explicó.

Francos destacó que la cuestión central recae en cómo financiar las Pensiones No Contributivas por Discapacidad para Protección Social. Cuestionó que el Congreso haya aprobado la ley sin especificar el origen de los recursos: “El Congreso, cuando sanciona una ley, debe establecer de dónde salen los recursos. No me pueden endilgar a mí que vea cómo reacomodo las partidas. Eso no es solución; es una mentira. ¿A quién le sacamos? ¿A los jubilados y lo pasamos a discapacidad?”.

Milei presentará el Presupuesto 2026 por cadena nacional: foco en el ajuste y el acuerdo con el FMI

Según los datos de la Oficina de Presupuesto del Congreso, la cantidad de beneficiarios podría aumentar entre 493.000 y 946.000 personas, implicando un gasto adicional estimado que oscila entre $1,8 y $3,6 billones, equivalentes al 0,22% y 0,42% del Producto Bruto Interno (PBI). A esto se suman otras erogaciones por $278.323 millones para compensaciones a prestadores y $7.160 millones destinados a talleres de producción vinculados a la discapacidad.

PRINCIPALES PUNTOS DE LA LEY Y DEFENSA DEL GOBIERNO FRENTE A LOS ESCÁNDALOS

El beneficio que establece esta ley consiste en una pensión que equivaldrá al 70% del haber mínimo jubilatorio y será compatible con el empleo registrado bajo ciertas condiciones: se mantiene siempre que los ingresos del beneficiario no superen dos salarios mínimos. También establece la transformación automática de las pensiones ya otorgadas, con el objetivo de evitar trámites burocráticos que compliquen el acceso a quienes ya cuentan con este derecho.

En plena pelea por el veto, Nación giró $12.500 millones en ATN a cuatro provincias: ¿cómo le fue a Chubut?

En otro orden, durante una entrevista con Clarín, Guillermo Francos defendió al presidente Milei y a su hermana Karina respecto a las acusaciones de presuntos cobros irregulares a proveedores de medicamentos. “No queremos hacernos cargo de una orquestación de hechos que no están probados. Toda esta campaña organizada contra la hermana del Presidente es tremenda”, afirmó. Además, añadió que conoce a los Milei desde hace años y que “el Presidente es una persona transparente, austera y a quien no le interesa el dinero más que para vivir”.

Privatización de rutas: más de 9 mil kilómetros serán concesionados a empresas privadas

Francos calificó el escándalo, basado en audios filtrados del exdirector de la Agencia Nacional de Discapacidad, Diego Spagnuolo, como el que más daño ha provocado al gobierno. En este sentido, reconoció la gravedad de la situación para la confianza en la gestión, pero aseguró que “si alguien tiene responsabilidad, que la pague. El Gobierno no va a proteger a nadie”.

La promulgación de esta ley en discapacidad marca un desafío político y económico para el Gobierno, que deberá encontrar soluciones al cuello de botella que representa la financiación para que la norma tenga una aplicación efectiva y sostenible en el tiempo."
14,El Gobierno promulgará la ley de discapacidad pero retrasa su aplicación por financiamiento,Diario El Debate Pregón,hace 17 minutos,nan,"El Gobierno nacional confirmó que promulgara la ley de discapacidad, aprobada por el Congreso tras rechazar el veto del presidente Javier Milei,...",https://www.diariodebatepregon.com/argentina-y-el-mundo/el-gobierno-promulgara-la-ley-de-discapacidad-pero-retrasa-su-aplicacion-por-financiamiento,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","La iniciativa, impulsada por la oposición y con amplio apoyo parlamentario, incluso de fuerzas antes aliadas del oficialismo, superó los dos tercios necesarios tanto en Diputados como en Senado para rechazar el veto.

El jefe de Gabinete, Guillermo Francos, indicó que la ley será promulgada, pero su reglamentación dependerá de la definición del financiamiento: “Si fuera por mí me gustaría analizarlo con el ministro del área y con las comisiones del Congreso para ver cómo se puede contemplar ese tema porque esto abre la puerta para nuevas pensiones por discapacidad. Pero resolvamos primero si las que se dieron fueron bien otorgadas”.

Según la Oficina de Presupuesto del Congreso, la aplicación de la norma podría aumentar el número de beneficiarios entre 493 mil y 946 mil personas, con un costo estimado entre 1,88 y 3,62 billones de pesos, equivalente al 0,22% y 0,42% del PBI. Además, se requerirían unos $278.323 millones para compensaciones a prestadores y $7.160 millones para talleres de producción.

La ley de emergencia en discapacidad se sancionó tras movilizaciones de la sociedad civil, en medio de una crisis en el sistema de atención por congelamiento de recursos y reducción de beneficiarios. También busca regularizar deudas fiscales y de seguridad social para empresas y trabajadores vinculados al sistema, actualizar automáticamente aranceles y fortalecer la Agencia Nacional de Discapacidad (ANDIS).

Entre sus puntos principales, establece que las Pensiones No Contributivas por Discapacidad corresponderán a quienes cuenten con Certificado Único de Discapacidad (CUD), cumplan con límites de ingresos y pasen una evaluación socioeconómica. La asignación será del 70% del haber mínimo jubilatorio y compatible con empleo registrado, además de transformar automáticamente pensiones anteriores en vigencia sin nuevos trámites."
15,Freno al recorte de pensiones: con un amparo intiman al Gobierno a restituir 129 beneficios para personas con discapacidad,Diario Río Negro,hace 18 minutos,nan,"Una acción de amparo fue presentada en la Justicia Federal de Salta por la suspensión de 129 pensiones no contributivas por discapacidad, afectando a más de...",https://www.rionegro.com.ar/sociedad/freno-al-recorte-de-pensiones-con-un-amparo-intiman-al-gobierno-a-restituir-129-beneficios-para-personas-con-discapacidad-4299388/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Una acción de amparo fue presentada en la Justicia Federal de Salta por la suspensión de 129 pensiones no contributivas por discapacidad, afectando a más de un centenar de familias salteñas. La medida judicial busca revertir la decisión del gobierno nacional de cortar estos beneficios, considerados un soporte vital para los beneficiarios.

La presentación del amparo fiscal de Estado, Juan Agustín Pérez Alsina, va dirigida contra el Estado nacional y la Agencia Nacional de Discapacidad (ANDIS) y busca revertir esta medida, que ha generado incertidumbre y desprotección en uno de los sectores más vulnerables de la comunidad salteña.

Según detallaron medios locales, la judicialización del reclamo se hizo bajo la instrucción del gobernador de Salta, Gustavo Saénz. En el amparo se piden dos cosas:

La aplicación de una medida cautelar que restituya a los beneficiarios de manera inmediata su pensión

su pensión El pago de un retroactivo, desde julio, momento en que se suspendieron.

Para esto, solicitaron que la Corte Suprema convoque a una audiencia pública.

Freno al recorte de pensiones: qué dice el amparo que intima al Gobierno a restituir 129 beneficios y pagar el retroactivo

Hubo “evidentes faltas de transparencia en los procedimientos aplicados por el Estado nacional, que afectaron a personas en situación de vulnerabilidad extrema”, se sostiene en el amparo.

Asimismo, la provincia reclamó la implementación de un proceso de «auditoría transparente, profesional y accesible» que salvaguarde el debido proceso y los derechos de las personas con discapacidad y en situación de vulnerabilidad.

Además, se pidió que se cite a una audiencia pública con participación de las partes «a los fines informativos y conciliatorios».

La provincia alegó que los procedimientos fueron «arbitrarios, carentes de sustento normativo y violatorios de derechos fundamentales», y destacó que la ANDIS se negó a proporcionar información nominal de los beneficiarios y los procedimientos detallados de las suspensiones, según detalló Página 12.

Fallo histórico para personas con discapacidad: restituirán pensiones suspendidas tras amparo colectivo

El Juzgado Federal N°2 de Catamarca ordenó a la Agencia Nacional de Discapacidad (ANDIS) restablecer, en un plazo de 24 horas, la totalidad de las pensiones no contributivas por invalidez que habían sido suspendidas en la provincia, y pagar los haberes retenidos a sus titulares. La medida, adoptada mediante una resolución del viernes firmada por el juez Guillermo Díaz Martínez, tiene validez únicamente en Catamarca, aunque podría sentar un precedente para otros casos similares en el país.

La acción de amparo fue presentada por la Asociación de Personas y Familiares de Discapacitados Motores, varios ciudadanos por derecho propio, y el Defensor del Pueblo de la Provincia de Catamarca. Los demandantes buscaron que se declararan nulas las suspensiones de pensiones por invalidez laboral, que se adecuara el procedimiento de auditorías a los parámetros constitucionales y legales, y que se declarara la inconstitucionalidad del decreto 843/24, que modificó los requisitos para acceder a estos beneficios.

Según los denunciantes, el decreto «establece criterios más restrictivos para el acceso a las pensiones, como la exigencia de una incapacidad total y permanente del 66% y la falta de un vínculo laboral registrado», lo que consideraron «inconstitucional» porque contradice los principios de progresividad y no regresividad en materia de discapacidad."
16,Ingresa en prisión un hombre de 69 años por agresión sexual a una mujer con discapacidad en Cáceres,elDiario.es,hace 22 minutos,nan,"Había sido detenido, en otra ocasión, por la presunta agresión sexual al hijo de su expareja sentimental, un menor con discapacidad.",https://www.eldiario.es/extremadura/caceres/ingresa-prision-hombre-69-anos-agresion-sexual-mujer-discapacidad-caceres_1_12604523.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Un hombre de 69 años, al que le constan antecedentes penales por hechos similares, ha ingresado en prisión por un supuesto delito de agresión sexual a una mujer con discapacidad física, a la que infligió “tocamientos no consentidos y forzados” en una localidad de la provincia cacereña.

Según ha informado la Guardia Civil, se trata de un hombre, quien fue detenido también, en otra ocasión, por la presunta agresión sexual al hijo de su expareja sentimental, un menor con discapacidad.

Los hechos se remontan a la madrugada del pasado día 2 de agosto, cuando la víctima regresaba a su domicilio desde la plaza de su localidad y al abrir la puerta, el detenido accedió al inmueble “de manera repentina” y “comenzó a mostrarle sus partes íntimas”, agarrando con fuerza a la víctima para evitar su huida“.

A la vez, le realizaba tocamientos no consentidos y le profería palabras soeces, motivo por el cual, ella se quedó paraliza en un primer momento y después comenzó a pedir ayuda y golpeó al agresor con objetos que tenía a su alcance, logrando zafarse de él.

Los vecinos, al escuchar los gritos de auxilio, acudieron en su ayuda, por lo que el agresor huyó del lugar sin poder ser identificado, regresando posteriormente para tratar de culminar su acción, pero sin lograr su objetivo, ya que un vecino había alertado a la Guardia Civil y huyó de nuevo.

Los agentes se personaron en el lugar del incidente y verificaron el estado de salud de la mujer que, pese a su nerviosismo, parecía encontrarse ilesa, por lo que iniciaron un dispositivo de búsqueda por las calles de la localidad y zonas aledañas, sin resultados en un primer momento.

Se inició entonces una investigación y los agentes obtuvieron pruebas que situaban al sospechoso, en días diferentes, “deambulando por las inmediaciones de la vivienda de la víctima, principalmente, en horario nocturno”.

Además, lograron identificar el vehículo que empleaba para desplazarse hasta la localidad donde reside la mujer, lo que permitió a la Guardia Civil dar con la identidad y el paradero del propietario del vehículo y presunto autor de los hechos.

La investigación ha culminado con la detención de este individuo el pasado día 10 de septiembre, como presunto autor de un delito de agresión sexual.

Finalizada la correspondiente instrucción de diligencias policiales, el detenido ha sido puesto a disposición de la autoridad judicial competente en Cáceres, quien ha decretado su ingreso en prisión provisional."
17,Francos confirmó que el Gobierno promulgará la Ley de Discapacidad,Mendoza Post,hace 27 minutos,nan,"El Gobierno nacional confirmó que promulgará la nueva Ley de discapacidad, que el Congreso sancionó y ratificó tras rechazar el veto del presidente Javier...",https://www.mendozapost.com/politica/ley-de-discapacidad-gobierno-va-a-promulgarla/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","El Gobierno nacional confirmó que promulgará la nueva Ley de discapacidad, que el Congreso sancionó y ratificó tras rechazar el veto del presidente Javier Milei. Sin embargo, aclaró que no avanzará con su reglamentación hasta determinar de dónde saldrán los recursos para financiar su implementación.

Aunque en un primer momento el Poder Ejecutivo había dejado trascender la posibilidad de acudir a la Justicia para impedir la entrada en vigor de la norma, el jefe de Gabinete, Guillermo Francos, confirmó que finalmente se promulgará.

""El Poder Ejecutivo la va a promulgar. Después tiene que dictar un decreto reglamentario para ver cómo se aplica la ley y eso tiene distintos aspectos. Lo hablaremos con el Presidente. Si fuera por mí, me gustaría analizarlo con el ministro del área y con las comisiones del Congreso para ver cómo se puede contemplar ese tema, porque esto abre la puerta para nuevas pensiones por discapacidad. Pero resolvamos primero si las que se dieron fueron bien otorgadas"", señaló Francos.

%uD83D%uDEA8FRANCOS CONFIRMÓ QUE LA LEY DE EMERGENCIA EN DISCAPACIDAD SE VA A PROMULGAR, DIJO QUE VAN A VER COMO LO IMPLEMENTAN Y CHICANEÓ A LA OPOSICIÓN PORQUE TODAVÍA NO LE DIJERON COMO REASIGNAR LOS RECURSOS PARA LLEVARLO A CABO



""El Poder Ejecutivo la va a promulgar. Después tiene que... pic.twitter.com/GS3UowegA8 — Agarra la Pala (@agarra_pala) September 15, 2025

Podés leer: ¿Precedente? Ordenan devolver pensiones por invalidez en Catamarca

""También es cierto que el artículo 38 de la ley financiera dice que el Congreso, cuando sanciona una ley, debe establecer de dónde salen los recursos. No me pueden endilgar a mí que vea las partidas, cómo las reacomoda. Eso no es solución, es una mentira. Que me digan sino a quién le sacamos, ¿a los jubilados y lo pasamos a discapacidad?"".

¿Qué dice la ley?

La norma establece como eje la creación de un sistema de Pensiones No Contributivas por Discapacidad para Protección Social, destinado a quienes cuenten con el Certificado Único de Discapacidad (CUD), no superen ingresos de dos salarios mínimos, no perciban planes similares y aprueben una evaluación socioeconómica.

La asignación equivaldrá al 70% del haber mínimo jubilatorio y será compatible con empleo registrado, siempre que no supere el tope fijado. Además, todas las pensiones otorgadas previamente se transformarán automáticamente bajo este régimen, evitando nuevos trámites.

El texto también refuerza el Sistema de Prestaciones Básicas de Atención Integral, regulado por la Ley 24.901, con la actualización mensual y automática de aranceles según el IPC del INDEC.

Finalmente, la norma asigna más recursos y responsabilidades a la Agencia Nacional de Discapacidad (ANDIS), encargada de articular las políticas públicas del sector.

Te puede interesar: Oficializaron a Lisandro Catalán en el Ministerio del Interior"
18,Gran participación de adultos mayores y personas con discapacidad en la Maratón del Inmigrante,Gobierno de Oberá,hace 30 minutos,nan,"Durante la prueba atlética en el marco de la Fiesta Nacional del Inmigrante, dónde participaron 126 adultos mayores y 27 personas con discapacidad.",https://obera.gob.ar/gran-participacion-de-adultos-mayores-y-personas-con-discapacidad-en-la-maraton-del-inmigrante/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Durante la prueba atlética en el marco de la Fiesta Nacional del Inmigrante, dónde participaron 126 adultos mayores y 27 personas con discapacidad.

Los participantes del Centro de Día comenzaron desde la Iglesia Santa Olga, los integrantes de los Clubes de abuelos iniciaron en la Facultad de Ingeniería.

Cabe destacar que ambos grupos participaron con una caminata y la participación de clubes y centro día es una herramienta y oportunidad de integración social y también una forma de visibilizar y demostrar las potencialidades de cada uno de ellos, fomentando una vida social e inclusiva en la sociedad.

Mientras que la prueba general de 10 kilómetros tuvo como líder y ganador al atleta de Azara Edgardo Franco con un tiempo de 34 minutos 33 segundos, en segundo lugar de la general llegó Josías Ickert (35m46s), de Leandro N. Alem. En tercer lugar el obereño Darío Piñeiro (38m23s).

En tanto que entre las mujeres se impuso Yamila Machado (44m55s), de Puerto Iguazú; escoltada por la local Jessy Klingbeil (45m03s) y Roció Maciel (45m30s), de Los Helechos."
19,Corrupción en la Agencia de Discapacidad: denuncian a Fernando Cerimedo y a su esposa por encubrimiento,Política Argentina,hace 31 minutos,nan,La presentación la hizo el abogado Gregorio Dalbón ante el fiscal Franco Picardi. Sostiene que el consultor y fundador de La Derecha Diario debía denunciar...,https://www.politicargentina.com/notas/202509/68570-corrupcion-en-la-agencia-de-discapacidad-denuncian-a-fernando-cerimedo-y-a-su-esposa-por-encubrimiento.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","15.09.2025 / COIMAS EN ANDIS

Corrupción en la Agencia de Discapacidad: denuncian a Fernando Cerimedo y a su esposa por encubrimiento

La presentación la hizo el abogado Gregorio Dalbón ante el fiscal Franco Picardi. Sostiene que el consultor y fundador de La Derecha Diario debía denunciar el esquema de coimas que reconoció haber conocido."
